Wavelength (nm),Amplitude (AU)
1510.127999999997,118.15117146405703
1510.128999999997,123.15218645042319
1510.129999999997,128.19447507093773
1510.130999999997,133.2775307747759
1510.1319999999969,138.4008470111118
1510.1329999999969,143.56391722912088
1510.1339999999968,148.76623487797724
1510.1349999999968,154.00729340685575
1510.1359999999968,159.28658626493103
1510.1369999999968,164.60360690137807
1510.1379999999967,169.95784876537124
1510.1389999999967,175.34880530608558
1510.1399999999967,180.7759699726954
1510.1409999999967,186.23883621437543
1510.1419999999966,191.73689748030085
1510.1429999999966,197.26964721964586
1510.1439999999966,202.8365788815853
1510.1449999999966,208.4371859152938
1510.1459999999965,214.07096176994656
1510.1469999999965,219.7373998947176
1510.1479999999965,225.43599373878203
1510.1489999999965,231.16623675131422
1510.1499999999965,236.9276223814892
1510.1509999999964,242.71964407848162
1510.1519999999964,248.5417952914658
1510.1529999999964,254.39356946961715
1510.1539999999964,260.27446006210965
1510.1549999999963,266.18396051811845
1510.1559999999963,272.12156428681806
1510.1569999999963,278.0867648173833
1510.1579999999963,284.0790555589887
1510.1589999999962,290.0979299608091
1510.1599999999962,296.14288147201927
1510.1609999999962,302.2134035417935
1510.1619999999962,308.308989619307
1510.1629999999961,314.4291331537342
1510.1639999999961,320.5733275942501
1510.164999999996,326.741066390029
1510.165999999996,332.9318429902455
1510.166999999996,339.14515084407503
1510.167999999996,345.38048340069156
1510.168999999996,351.63733410927
1510.169999999996,357.91519641898515
1510.170999999996,364.2135637790116
1510.171999999996,370.5319296385242
1510.172999999996,376.8697874466975
1510.1739999999959,383.2266306527063
1510.1749999999959,389.60195270572524
1510.1759999999958,395.995247054929
1510.1769999999958,402.4060071494923
1510.1779999999958,408.8337264385899
1510.1789999999958,415.2778983713964
1510.1799999999957,421.73801639708665
1510.1809999999957,428.2135739648352
1510.1819999999957,434.7040645238168
1510.1829999999957,441.2089815232061
1510.1839999999956,447.72781841217795
1510.1849999999956,454.2600686399069
1510.1859999999956,460.80522565556777
1510.1869999999956,467.362782908335
1510.1879999999956,473.93223384738377
1510.1889999999955,480.5130719218883
1510.1899999999955,487.1047905810235
1510.1909999999955,493.7068832739641
1510.1919999999955,500.31884344988475
1510.1929999999954,506.9401645579601
1510.1939999999954,513.570340047365
1510.1949999999954,520.2088633672738
1510.1959999999954,526.8552279668617
1510.1969999999953,533.508927295303
1510.1979999999953,540.1694548017728
1510.1989999999953,546.8363039354452
1510.1999999999953,553.5089681454955
1510.2009999999952,560.1869408810982
1510.2019999999952,566.8697155914278
1510.2029999999952,573.5567857256592
1510.2039999999952,580.2476447329669
1510.2049999999952,586.9417860625259
1510.2059999999951,593.6387031635109
1510.206999999995,600.3378894850962
1510.207999999995,607.0388384764567
1510.208999999995,613.7410435867673
1510.209999999995,620.4439982652026
1510.210999999995,627.1471959609371
1510.211999999995,633.8501301231457
1510.212999999995,640.5522942010031
1510.213999999995,647.2531816436839
1510.214999999995,653.9522859003629
1510.215999999995,660.6491004202145
1510.2169999999949,667.343118652414
1510.2179999999948,674.0338340461357
1510.2189999999948,680.720740050554
1510.2199999999948,687.4033301148443
1510.2209999999948,694.0810976881808
1510.2219999999948,700.7535362197383
1510.2229999999947,707.4201391586915
1510.2239999999947,714.0803999542154
1510.2249999999947,720.7338120554842
